IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10726,4,22,25,0
10726,11,21,5,0
10727,17,39,20,0.05
10727,56,38,10,0.05
10727,59,55,10,0.05
10728,30,25.89,15,0
10728,40,18.4,6,0
10728,55,24,12,0
10728,60,34,15,0
10729,1,18,50,0
10729,21,10,30,0
10729,50,16.25,40,0
10730,16,17.45,15,0.05
10730,31,12.5,3,0.05
10730,65,21.05,10,0.05
10731,21,10,40,0.05
10731,51,53,30,0.05
10732,76,18,20,0
10733,14,23.25,16,0
10733,28,45.6,20,0
10733,52,7,25,0
10734,6,25,30,0
10734,30,25.89,15,0
10734,76,18,20,0
10735,61,28.5,20,0.1
10735,77,13,2,0.1
10736,65,21.05,40,0
10736,75,7.75,20,0
10737,13,6,4,0
10737,41,9.65,12,0
10738,16,17.45,3,0
10739,36,19,6,0
10739,52,7,18,0
10740,28,45.6,5,0.2
10740,35,18,35,0.2
10740,45,9.5,40,0.2
10740,56,38,14,0.2
10741,2,19,15,0.2
10742,3,10,20,0
10742,60,34,50,0
10742,72,34.8,35,0
10743,46,12,28,0.05
10744,40,18.4,50,0.2
10745,18,62.5,24,0
10745,44,19.45,16,0
10745,59,55,45,0
10745,72,34.8,7,0
10746,13,6,6,0
10746,42,14,28,0
10746,62,49.3,9,0
10746,69,36,40,0
10747,31,12.5,8,0
10747,41,9.65,35,0
10747,63,43.9,9,0
10747,69,36,30,0
10748,23,9,44,0
10748,40,18.4,40,0
10748,56,38,28,0
10749,56,38,15,0
10749,59,55,6,0
10749,76,18,10,0
10750,14,23.25,5,0.15
10750,45,9.5,40,0.15
10750,59,55,25,0.15
10751,26,31.23,12,0.1
10751,30,25.89,30,0
10751,50,16.25,20,0.1
10751,73,15,15,0
10752,1,18,8,0
10752,69,36,3,0
10753,45,9.5,4,0
10753,74,10,5,0
10754,40,18.4,3,0
10755,47,9.5,30,0.25
10755,56,38,30,0.25
10755,57,19.5,14,0.25
10755,69,36,25,0.25
10756,18,62.5,21,0.2
10756,36,19,20,0.2
10756,68,12.5,6,0.2
10756,69,36,20,0.2
10757,34,14,30,0
10757,59,55,7,0
10757,62,49.3,30,0
10757,64,33.25,24,0
10758,26,31.23,20,0
10758,52,7,60,0
10758,70,15,40,0
10759,32,32,10,0
